地名,经度,纬度,误差（米）,地区等级
黄浦区,121.49158559252436,31.23724715206362,25,25
徐汇区,121.44339635276381,31.194556772822725,18,18
长宁区,121.43045437545099,31.226847968225428,18,18
静安区,121.45343177276851,31.233844930401652,20,20
普陀区,121.40356934916508,31.254973368279597,18,18
虹口区,121.51158645453457,31.269746698931357,25,25
杨浦区,121.53251993732523,31.265524144657057,18,18
宝山区,131.40737518857432,46.58359834024085,16,16
闵行区,121.38861193361008,31.118842580087428,16,16
嘉定区,121.27259505835202,31.3801553396772,16,16
浦东新区,121.55045460683195,31.227348292436346,14,14
松江区,121.23447959624146,31.037135176464492,16,16
金山区,121.34848004512126,30.747852376570318,16,16
青浦区,121.13055310467274,31.155454317980737,16,16
奉贤区,121.48050373643107,30.923720110285377,16,16
崇明区,121.40355686271847,31.62856998440405,14,14
